City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Chuy,UY,2021-09-17 12:12:51,-33.6971,-53.4616,57.04,75,0,7.18,clear sky
60,Glendive,US,2021-09-17 12:11:19,47.1053,-104.7125,43.18,39,0,7.52,clear sky
61,Vanersborg,SE,2021-09-17 12:12:51,58.3807,12.3234,52.92,87,90,16.11,overcast clouds
62,Tiksi,RU,2021-09-17 12:12:52,71.6872,128.8694,36.07,83,100,15.86,overcast clouds
63,Plettenberg Bay,ZA,2021-09-17 12:12:52,-34.0527,23.3716,59.47,61,72,6.38,broken clouds
64,Flinders,AU,2021-09-17 12:12:53,-34.5833,150.8552,62.26,81,74,1.99,broken clouds
65,Changping,CN,2021-09-17 12:12:53,40.2186,116.2197,64.04,62,55,2.24,light rain
66,Dzilam Gonzalez,MX,2021-09-17 12:12:54,21.2833,-88.9333,75.72,97,94,4.54,overcast clouds
67,Puri,IN,2021-09-17 12:12:54,19.8,85.85,84.72,75,73,7.76,broken clouds
68,Kapaa,US,2021-09-17 12:12:54,22.0752,-159.319,79.12,77,40,1.01,light rain
69,Astoria,US,2021-09-17 12:12:55,46.1879,-123.8313,54.93,88,90,1.99,overcast clouds
70,Atar,MR,2021-09-17 12:12:55,20.5169,-13.0499,93.34,20,92,5.44,overcast clouds
71,Ravar,IR,2021-09-17 12:12:56,31.2656,56.8055,94.42,4,0,10.47,clear sky
72,Ponta Do Sol,PT,2021-09-17 12:12:56,32.6667,-17.1,81.72,74,61,3.67,broken clouds
73,Butaritari,KI,2021-09-17 12:12:56,3.0707,172.7902,82.9,71,40,14.23,scattered clouds
74,Mahenge,TZ,2021-09-17 12:12:57,-8.6833,36.7167,84.88,32,55,3.06,broken clouds
75,Urengoy,RU,2021-09-17 12:12:57,65.9667,78.3667,40.75,92,100,23.6,light rain
76,Surt,LY,2021-09-17 12:12:57,31.2089,16.5887,84.99,43,0,9.64,clear sky
77,Kargasok,RU,2021-09-17 12:12:58,59.0556,80.8572,53.85,88,57,7.2,light rain
78,Panzhihua,CN,2021-09-17 12:12:58,26.5851,101.7128,72.95,85,71,2.1,broken clouds
79,Stephenville Crossing,CA,2021-09-17 12:12:59,48.5,-58.4318,55.22,97,49,4.27,scattered clouds
80,Rikitea,PF,2021-09-17 12:12:59,-23.1203,-134.9692,68.83,88,57,13.44,moderate rain
81,Berezovyy,RU,2021-09-17 12:12:59,51.6667,135.7,49.6,69,13,4.79,few clouds
82,Great Falls,US,2021-09-17 12:08:03,47.5002,-111.3008,49.41,69,1,9.22,clear sky
83,Busselton,AU,2021-09-17 12:13:00,-33.65,115.3333,51.08,65,52,7.38,broken clouds
84,Pushkar,IN,2021-09-17 12:13:00,26.5,74.55,81.1,70,99,15.88,overcast clouds
85,Sao Filipe,CV,2021-09-17 12:13:01,14.8961,-24.4956,79.72,80,97,10.33,overcast clouds
86,Sioux Lookout,CA,2021-09-17 12:12:43,50.1001,-91.917,47.21,83,81,10.6,broken clouds
87,Porto Novo,BJ,2021-09-17 12:13:01,6.4965,2.6036,89.04,55,97,1.41,overcast clouds
88,Dalnerechensk,RU,2021-09-17 12:13:02,45.9339,133.7225,57.58,71,0,5.91,clear sky
89,Aklavik,CA,2021-09-17 12:13:02,68.2191,-135.0107,43.02,82,96,7.7,overcast clouds
90,Boddam,GB,2021-09-17 12:13:03,57.4667,-1.7833,66.09,90,100,20.11,overcast clouds
91,Dingle,PH,2021-09-17 12:13:03,10.9995,122.6711,75.56,92,72,5.44,broken clouds
92,Marystown,CA,2021-09-17 12:03:21,47.1666,-55.1483,58.12,67,0,3.51,clear sky
93,Provideniya,RU,2021-09-17 12:12:20,64.3833,-173.3,36.88,77,66,3.6,broken clouds
94,Batagay,RU,2021-09-17 12:13:04,67.6333,134.6333,44.94,96,100,3.49,light rain
95,Emmett,US,2021-09-17 12:13:04,43.8735,-116.4993,51.93,24,23,6.58,few clouds
96,Cape Town,ZA,2021-09-17 12:08:55,-33.9258,18.4232,73.11,59,0,4.0,clear sky
97,Ust-Kut,RU,2021-09-17 12:13:05,56.7938,105.7672,42.71,66,89,3.65,overcast clouds
98,Norman Wells,CA,2021-09-17 12:13:05,65.282,-126.8329,40.86,86,52,5.99,broken clouds
99,Saveh,IR,2021-09-17 12:13:06,35.0213,50.3566,95.79,6,0,12.08,clear sky
100,Vilhena,BR,2021-09-17 12:13:06,-12.7406,-60.1458,81.75,49,5,3.33,clear sky
101,Atuona,PF,2021-09-17 12:10:32,-9.8,-139.0333,77.5,72,5,20.56,clear sky
102,Victoria,HK,2021-09-17 12:11:32,22.2855,114.1577,87.33,78,4,1.01,light rain
103,Lebu,CL,2021-09-17 12:13:07,-37.6167,-73.65,49.87,85,89,2.95,overcast clouds
104,Kodiak,US,2021-09-17 12:13:07,57.79,-152.4072,48.34,89,100,15.21,overcast clouds
105,Lagos,NG,2021-09-17 12:08:14,6.5833,3.75,87.46,61,100,3.69,overcast clouds
106,Mutoko,ZW,2021-09-17 12:13:08,-17.397,32.2268,92.1,14,39,7.76,scattered clouds
107,Bredasdorp,ZA,2021-09-17 12:13:08,-34.5322,20.0403,61.29,55,54,16.33,broken clouds
108,College,US,2021-09-17 12:13:09,64.8569,-147.8028,44.29,80,20,0.0,few clouds
109,Jacareacanga,BR,2021-09-17 12:13:09,-6.2222,-57.7528,84.22,56,6,2.91,clear sky
110,Ahuimanu,US,2021-09-17 12:13:10,21.4447,-157.8378,78.51,74,75,12.66,light rain
111,Coruripe,BR,2021-09-17 12:13:10,-10.1256,-36.1756,76.98,79,24,14.99,few clouds
112,Enid,US,2021-09-17 12:08:22,36.3956,-97.8784,69.31,85,1,3.0,clear sky
113,Upernavik,GL,2021-09-17 12:10:08,72.7868,-56.1549,27.03,72,94,5.93,overcast clouds
114,Sfantu Gheorghe,RO,2021-09-17 12:13:11,45.8667,25.7833,77.67,58,100,1.97,overcast clouds
115,East London,ZA,2021-09-17 12:13:11,-33.0153,27.9116,63.3,50,80,18.59,broken clouds
116,Lata,PT,2021-09-17 12:13:11,40.1629,-8.3327,76.35,47,55,7.31,broken clouds
117,Arraial Do Cabo,BR,2021-09-17 12:13:11,-22.9661,-42.0278,71.46,73,75,4.61,broken clouds
118,Vila Franca Do Campo,PT,2021-09-17 12:13:12,37.7167,-25.4333,72.01,88,73,6.87,broken clouds
119,El Viejo,NI,2021-09-17 12:13:12,12.6633,-87.1672,74.1,93,30,3.51,scattered clouds
120,Jamestown,US,2021-09-17 12:10:05,42.097,-79.2353,68.07,95,90,5.01,overcast clouds
121,Avera,US,2021-09-17 12:13:13,33.194,-82.5271,71.71,91,92,4.63,overcast clouds
122,Bethel,US,2021-09-17 12:13:13,41.3712,-73.414,68.05,93,90,8.05,mist
123,Miahuatlan,MX,2021-09-17 12:13:14,18.5667,-97.4333,57.87,81,100,2.64,overcast clouds
124,Tutin,RS,2021-09-17 12:13:14,42.9903,20.3314,78.3,34,93,16.53,overcast clouds
125,Hammerfest,NO,2021-09-17 12:13:15,70.6634,23.6821,49.73,66,0,11.5,clear sky
126,Hasaki,JP,2021-09-17 12:13:15,35.7333,140.8333,72.0,67,100,17.74,overcast clouds
127,Srednekolymsk,RU,2021-09-17 12:12:19,67.45,153.6833,46.69,69,84,4.92,broken clouds
128,Nantucket,US,2021-09-17 12:12:31,41.2835,-70.0995,70.03,94,100,17.96,overcast clouds
129,Bucerias,MX,2021-09-17 12:13:16,20.75,-105.3333,75.97,100,53,4.85,broken clouds
130,Qaqortoq,GL,2021-09-17 12:13:16,60.7167,-46.0333,39.7,81,89,4.9,overcast clouds
131,Puerto Madryn,AR,2021-09-17 12:13:16,-42.7692,-65.0385,57.24,56,98,5.79,overcast clouds
132,Morant Bay,JM,2021-09-17 12:13:17,17.8815,-76.4093,83.66,82,70,10.16,broken clouds
133,Padang,ID,2021-09-17 12:13:17,-0.9492,100.3543,77.05,85,71,2.51,light rain
134,Meulaboh,ID,2021-09-17 12:13:18,4.1363,96.1285,80.56,77,97,6.29,overcast clouds
135,Lamar,US,2021-09-17 12:13:18,33.6668,-95.5836,71.26,94,0,3.69,clear sky
136,Hobart,AU,2021-09-17 12:13:18,-42.8794,147.3294,56.26,68,75,4.0,moderate rain
137,Yerofey Pavlovich,RU,2021-09-17 12:13:19,53.9667,121.9667,32.99,90,39,4.36,scattered clouds
138,Hwange,ZW,2021-09-17 12:13:19,-18.3693,26.5019,100.69,11,5,4.99,clear sky
139,Khatanga,RU,2021-09-17 12:13:19,71.9667,102.5,30.54,77,71,8.39,broken clouds
140,Portland,US,2021-09-17 12:10:13,45.5234,-122.6762,58.1,57,100,1.01,overcast clouds
141,Sao Joao Da Barra,BR,2021-09-17 12:13:20,-21.6403,-41.0511,71.69,88,94,10.36,overcast clouds
142,Shelburne,CA,2021-09-17 12:13:20,44.0787,-80.2041,58.77,95,0,6.51,clear sky
143,Pacific Grove,US,2021-09-17 12:13:21,36.6177,-121.9166,57.42,87,90,1.99,overcast clouds
144,Yatou,CN,2021-09-17 12:13:21,37.15,122.3833,67.42,90,28,6.42,scattered clouds
145,Orotukan,RU,2021-09-17 12:13:21,62.2667,151.7,46.38,74,1,9.93,clear sky
146,Erdenet,MN,2021-09-17 12:13:22,49.0333,104.0833,49.96,88,99,1.81,overcast clouds
147,Antalaha,MG,2021-09-17 12:13:22,-14.9003,50.2788,75.69,68,98,8.99,overcast clouds
148,Guanare,VE,2021-09-17 12:13:23,9.0418,-69.7421,74.37,84,12,2.24,few clouds
149,Hamilton,US,2021-09-17 12:08:46,39.1834,-84.5333,66.99,96,1,0.0,fog
150,Metro,ID,2021-09-17 12:13:23,-5.1131,105.3067,78.93,78,91,7.02,overcast clouds
151,Yima,CN,2021-09-17 12:13:24,34.7381,111.8839,62.74,98,100,7.67,light rain
152,Yamada,JP,2021-09-17 12:13:24,39.4667,141.95,67.23,94,100,11.03,overcast clouds
153,Tasiilaq,GL,2021-09-17 12:13:25,65.6145,-37.6368,37.56,59,93,6.62,overcast clouds
154,Honggang,CN,2021-09-17 12:13:25,46.4667,124.8667,63.16,73,4,9.37,clear sky
155,Nishihara,JP,2021-09-17 12:13:26,26.1842,127.7558,81.68,78,20,6.91,few clouds
156,Tucurui,BR,2021-09-17 12:13:26,-3.7661,-49.6725,83.3,66,62,6.11,broken clouds
157,Kermanshah,IR,2021-09-17 12:13:13,34.3142,47.065,88.7,7,0,4.61,clear sky
158,Guerrero Negro,MX,2021-09-17 12:13:27,27.9769,-114.0611,69.48,82,71,12.15,broken clouds
159,Lerwick,GB,2021-09-17 12:13:27,60.1545,-1.1494,59.0,86,100,28.88,overcast clouds
160,Inuvik,CA,2021-09-17 12:13:28,68.3499,-133.7218,44.19,76,100,6.87,overcast clouds
161,Cabo San Lucas,MX,2021-09-17 12:09:47,22.8909,-109.9124,78.62,88,50,5.01,scattered clouds
162,Coquimbo,CL,2021-09-17 12:08:46,-29.9533,-71.3436,53.33,87,90,4.61,overcast clouds
163,Deputatskiy,RU,2021-09-17 12:12:19,69.3,139.9,38.82,93,100,1.79,light rain
164,Maniitsoq,GL,2021-09-17 12:13:28,65.4167,-52.9,36.45,43,78,4.81,broken clouds
165,Iqaluit,CA,2021-09-17 12:13:29,63.7506,-68.5145,35.33,80,90,19.57,light snow
166,Dongsheng,CN,2021-09-17 12:13:29,39.8161,109.9776,64.4,34,20,8.61,few clouds
167,New Norfolk,AU,2021-09-17 12:13:30,-42.7826,147.0587,55.92,61,100,3.22,overcast clouds
168,Caucasia,CO,2021-09-17 12:13:30,7.9865,-75.1935,74.89,96,91,2.8,overcast clouds
169,Calama,CL,2021-09-17 12:13:31,-22.4667,-68.9333,61.39,12,5,6.53,clear sky
170,Karratha,AU,2021-09-17 12:13:31,-20.7377,116.8463,75.15,49,16,10.94,few clouds
171,Belyy,RU,2021-09-17 12:13:31,55.8402,32.9419,53.19,44,70,8.5,broken clouds
172,Imphal,IN,2021-09-17 12:09:54,24.8167,93.95,71.89,94,98,2.64,overcast clouds
173,Haines Junction,CA,2021-09-17 12:13:32,60.7522,-137.5108,37.04,91,100,1.39,overcast clouds
174,Codrington,AU,2021-09-17 12:13:32,-38.2667,141.9667,51.13,82,47,11.21,scattered clouds
175,Inzhavino,RU,2021-09-17 12:13:33,52.3185,42.4937,55.17,49,100,4.54,light rain
176,Geraldton,AU,2021-09-17 12:13:33,-28.7667,114.6,52.21,82,1,5.75,clear sky
177,Carnarvon,AU,2021-09-17 12:13:34,-24.8667,113.6333,64.47,63,0,20.71,clear sky
178,Yulara,AU,2021-09-17 12:13:34,-25.2406,130.9889,71.44,30,0,6.91,clear sky
179,Airai,TL,2021-09-17 12:13:34,-8.9266,125.4092,59.0,76,50,2.84,scattered clouds
180,Aban,RU,2021-09-17 12:13:35,56.67,96.06,51.89,87,31,6.4,scattered clouds
181,Atkinson,US,2021-09-17 12:08:39,42.8384,-71.147,64.36,91,90,1.99,overcast clouds
182,Kyshtovka,RU,2021-09-17 12:13:35,56.555,76.6271,51.69,59,41,12.01,scattered clouds
183,Bonavista,CA,2021-09-17 12:13:36,48.6499,-53.1147,60.12,77,17,12.15,few clouds
184,Quelimane,MZ,2021-09-17 12:13:36,-17.8786,36.8883,85.95,66,0,12.66,clear sky
185,Sobolevo,RU,2021-09-17 12:13:37,54.4299,31.8996,41.94,90,100,11.32,light rain
186,Kondinskoye,RU,2021-09-17 12:13:37,59.6481,67.41,39.42,97,100,18.19,light rain
187,Toktogul,KG,2021-09-17 12:13:37,41.8708,72.9402,80.46,20,0,3.4,clear sky
188,Mahebourg,MU,2021-09-17 12:13:38,-20.4081,57.7,76.24,76,31,10.07,scattered clouds
