City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Spokoynaya,RU,2021-09-17 10:37:11,44.2468,41.4015,64.87,56,95,4.5
68,Saskylakh,RU,2021-09-17 10:37:12,71.9167,114.0833,32.36,96,100,16.4
69,Hithadhoo,MV,2021-09-17 10:37:12,-0.6,73.0833,83.21,72,100,7.14
70,Ciudad Bolivar,VE,2021-09-17 10:37:12,8.1222,-63.5497,75.97,86,0,6.08
71,Namibe,AO,2021-09-17 10:37:13,-15.1961,12.1522,72.23,73,75,0.0
72,Aklavik,CA,2021-09-17 10:37:13,68.2191,-135.0107,45.43,82,52,7.99
73,Airai,TL,2021-09-17 10:37:13,-8.9266,125.4092,60.31,76,41,2.98
74,Cap Malheureux,MU,2021-09-17 10:37:14,-19.9842,57.6142,77.47,72,84,8.99
75,North Platte,US,2021-09-17 10:37:14,41.1239,-100.7654,57.09,80,75,10.0
76,Texarkana,US,2021-09-17 10:37:14,33.4251,-94.0477,72.1,88,90,3.44
77,Kimbe,PG,2021-09-17 10:37:15,-5.5502,150.1429,77.25,85,42,7.52
78,Georgetown,MY,2021-09-17 10:33:35,5.4112,100.3354,84.15,77,20,2.3
79,Lumberton,US,2021-09-17 10:37:15,34.6182,-79.0086,74.08,81,100,7.18
80,Cape Town,ZA,2021-09-17 10:32:38,-33.9258,18.4232,70.21,61,0,5.01
81,Mahebourg,MU,2021-09-17 10:37:16,-20.4081,57.7,77.25,78,75,14.97
82,Pangnirtung,CA,2021-09-17 10:37:16,66.1451,-65.7125,33.62,76,98,3.27
83,Bengkulu,ID,2021-09-17 10:37:16,-3.8004,102.2655,80.29,84,78,6.06
84,Hobart,AU,2021-09-17 10:33:34,-42.8794,147.3294,55.26,68,75,4.0
85,Isangel,VU,2021-09-17 10:37:17,-19.55,169.2667,71.01,83,100,14.41
86,Castro,BR,2021-09-17 10:37:17,-24.7911,-50.0119,54.99,96,100,11.77
87,Ponta Do Sol,PT,2021-09-17 10:37:18,32.6667,-17.1,78.01,66,64,4.09
88,Port Blair,IN,2021-09-17 10:37:18,11.6667,92.75,82.6,74,81,9.28
89,Solnechnyy,RU,2021-09-17 10:37:18,50.7214,136.6319,52.09,70,2,6.78
90,Ustka,PL,2021-09-17 10:37:19,54.5805,16.8619,61.66,85,100,7.36
91,Luderitz,NA,2021-09-17 10:37:19,-26.6481,15.1594,65.59,48,0,12.21
92,Yeroham,IL,2021-09-17 10:37:19,30.9872,34.9314,83.53,30,0,7.87
93,Little Current,CA,2021-09-17 10:37:19,45.9793,-81.9248,64.49,92,13,9.98
94,Ryazanskaya,RU,2021-09-17 10:37:20,44.9553,39.5889,78.6,35,4,12.8
95,Khatanga,RU,2021-09-17 10:37:20,71.9667,102.5,32.67,70,80,9.4
96,Lompoc,US,2021-09-17 10:37:20,34.6391,-120.4579,58.08,86,90,4.61
97,Faya,SA,2021-09-17 10:37:21,18.3851,42.4509,84.31,30,93,6.78
98,Tall Kayf,TR,2021-09-17 10:37:21,37.0833,41.0667,84.54,22,0,10.4
99,Ribeira Grande,PT,2021-09-17 10:37:21,38.5167,-28.7,75.6,69,75,10.36
100,Rikitea,PF,2021-09-17 10:37:22,-23.1203,-134.9692,72.32,76,41,7.52
101,Georgiyevka,KZ,2021-09-17 10:37:22,43.0369,74.7114,86.04,13,0,6.71
102,Columbus,US,2021-09-17 10:33:08,39.9612,-82.9988,66.18,96,1,0.0
103,Marystown,CA,2021-09-17 10:37:23,47.1666,-55.1483,55.09,75,0,3.87
104,Auki,SB,2021-09-17 10:37:23,-8.7676,160.7034,77.5,87,58,5.46
105,Los Llanos De Aridane,ES,2021-09-17 10:37:23,28.6585,-17.9182,75.13,63,40,12.66
106,Barrow,US,2021-09-17 10:37:24,71.2906,-156.7887,33.82,93,90,4.61
107,Menongue,AO,2021-09-17 10:37:24,-14.6585,17.691,95.68,8,7,5.48
108,Paamiut,GL,2021-09-17 10:37:24,61.994,-49.6678,37.24,76,17,16.98
109,Biak,ID,2021-09-17 10:37:25,-0.9131,122.8766,76.44,78,100,6.2
110,Longyearbyen,SJ,2021-09-17 10:37:25,78.2186,15.6401,42.64,87,75,4.61
111,Lavrentiya,RU,2021-09-17 10:37:26,65.5833,-171.0,35.26,69,92,1.5
112,Aketi,CD,2021-09-17 10:37:26,2.7388,23.7833,86.76,48,100,5.64
113,Lagoa,PT,2021-09-17 10:37:27,39.05,-27.9833,67.98,77,100,12.35
