City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Camocim,BR,87.08,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
540,Chalus,IR,80.06,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
542,Pemangkat,ID,81.77,broken clouds,1.1667,108.9667,Ramah Kost KITA
544,Cairns,AU,71.55,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
545,Soubre,CI,85.8,light rain,5.7856,-6.6083,Lynd Hotels Soubre
546,Parati,BR,72.5,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
547,Bloomingdale,US,78.87,mist,27.8936,-82.2404,Travel Club for Free
548,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
549,Yinchuan,CN,74.75,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
550,Kloulklubed,PW,80.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
553,Nouadhibou,MR,85.98,few clouds,20.931,-17.0347,El Medina
554,Cabra,ES,84.65,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
555,Bubaque,GW,80.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
556,Kourou,GF,86.11,clear sky,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
